,Feature,Data Size,Training Accuracy,Testing Accuracy,Normal
0,5oClockShadow,96,1.0,0.6,"[[ 7.39792667e-03  1.43105188e-02 -4.49296412e-02  5.43841777e-03
  -2.01283431e-02 -7.76444111e-03 -1.10195750e-02 -3.06711322e-02
   7.24263370e-03  9.10754682e-03 -4.12251376e-02 -1.67222456e-02
   3.22648274e-03 -2.26182840e-02 -1.78997663e-02 -1.38426233e-02
   1.26487262e-02 -2.33391151e-03  1.00260498e-02  3.21437635e-03
  -1.22133706e-03  1.50160575e-02 -1.32325101e-02  2.60060578e-02
  -5.21062732e-03 -1.19777761e-03  3.04011716e-02 -7.08681208e-03
   3.53804688e-03 -1.23628371e-03  1.66078747e-02  1.86496641e-02
  -3.74077258e-02 -6.09706195e-02  1.22510723e-02  1.82207970e-02
   8.56909008e-03  2.46680117e-02 -1.33198872e-02 -2.98045563e-02
   2.55603880e-02  1.81338080e-02  1.49918885e-02  9.62381300e-03
  -7.23904029e-03 -2.04334355e-02  4.48735295e-03  2.14743341e-02
   1.85246733e-02 -3.22812815e-03 -1.61655979e-02  1.10671501e-02
   1.59432772e-02 -4.70390085e-04  1.77928454e-02  5.97862104e-03
   2.63164431e-02  1.76166039e-02  5.85192266e-03  1.83929653e-02
  -5.00672136e-03  2.19370980e-02 -1.11976917e-02 -2.91076978e-02
   1.40806816e-03 -2.30019712e-02 -6.48799501e-03 -2.58750601e-02
  -1.07597385e-02  2.18011441e-02 -2.78586663e-02 -3.51296187e-04
   7.04402616e-03  1.71118048e-02 -1.46346281e-02 -4.38785440e-03
  -2.54743185e-02  6.20358761e-03 -3.61668589e-03 -2.41537009e-02
   4.14351603e-03  3.93525493e-03  1.35973199e-02  4.67847171e-03
  -2.22962521e-02  2.22958710e-03  1.94002541e-03  1.01403377e-02
   1.67344270e-02 -1.41105487e-02  3.41016740e-03  1.29391726e-02
  -2.58845340e-02 -3.80627144e-02  1.05413277e-02 -8.83454848e-03
   1.26200508e-02  4.15710669e-02 -1.10702710e-03  7.85033539e-03
   1.71683284e-04 -7.96246839e-03  1.11738476e-02  1.62460325e-02
   3.43120535e-02  2.41291470e-02  1.39244730e-02  1.69958855e-03
   9.12634532e-03 -2.85761535e-02  3.57580815e-02 -1.13856692e-02
   1.67083296e-02 -2.00422073e-02  9.23047728e-03 -1.97361260e-02
  -2.07430312e-02  2.05813926e-02  3.50378008e-02 -6.38785706e-03
  -3.50016668e-03 -4.55158871e-03  6.49939631e-03 -1.67252437e-02
   4.33071003e-03 -7.14835142e-03  2.95918128e-02  1.99034873e-02
  -1.46713548e-02 -4.47499944e-03 -5.10338613e-03  2.76232500e-02
   2.17124815e-02 -1.21861687e-02 -2.60265504e-02  2.33057560e-02
   1.97939140e-04 -8.86695658e-03  1.85138853e-03 -4.27638904e-03
   5.08523043e-03 -8.87756770e-03  4.08871009e-02  4.41456327e-03
   2.06083872e-02  9.25793861e-03 -1.11218558e-02 -3.10203559e-02
   2.31906962e-02 -1.16286554e-02  1.04895339e-02 -2.63039141e-02
  -5.14449776e-03  2.43411680e-02  1.09026435e-02 -9.63912625e-03
   1.43791131e-03  1.45457704e-02 -3.07226302e-02 -1.18389058e-02
   1.34066874e-02  4.91705554e-05  1.12968368e-02  1.52909496e-02
   2.29244080e-02  5.14866826e-03 -1.78460586e-02 -4.31890896e-02
  -1.60298455e-02 -1.47094331e-02 -1.21429273e-02  1.54015642e-02
  -2.02833052e-02  2.19279908e-02  1.09647019e-02  2.70748876e-02
  -3.36757027e-03 -8.46845794e-03 -1.88643772e-03 -3.60629470e-02
   8.42740352e-03 -1.45568575e-02  2.57487006e-02 -3.70630450e-02
   1.84772146e-02  2.33248734e-04  3.97695973e-02 -4.66953689e-03
  -1.59859373e-02  4.52258680e-03 -4.88639905e-03 -4.46665778e-03
  -3.64528235e-03 -2.87274467e-02 -4.44895802e-03  1.93933655e-02
  -2.15436261e-02  7.66198448e-03  1.65524013e-02  2.75824599e-02
  -1.06820233e-03  1.18497155e-02  3.14724521e-03 -8.72285952e-03
   1.30392667e-02  3.06988230e-03  1.01913920e-02  1.54284166e-02
  -4.79158898e-02 -1.64137427e-02 -4.49528268e-03 -4.10889609e-03
   1.79092172e-02 -3.60272054e-02  1.26585479e-02  6.20638562e-03
  -2.25337278e-02 -2.15341448e-02 -2.12822146e-02  7.87072172e-03
  -8.47730836e-04 -3.39204703e-03 -1.13671116e-02  1.14313882e-02
   6.58601190e-03 -1.74662665e-02  1.20405171e-02 -7.66503980e-03
   1.03508589e-02  2.21740767e-02  4.33909752e-03  9.74720467e-03
  -2.52348079e-02  3.13687659e-02  4.22824434e-02 -4.67996603e-04
  -8.53635923e-03  1.92725894e-02  2.44296678e-03  6.27597752e-03
   1.23070988e-02  6.08160828e-03 -1.23661081e-02  2.44784061e-02
  -9.92546922e-03  1.08531879e-02  6.05365014e-03 -2.26151525e-02
  -1.21726527e-02  8.61797390e-03 -1.19729187e-03  3.00199818e-02
   1.40354839e-03  7.85313523e-03  7.26699571e-03  1.23749334e-02
   2.63158610e-02 -8.87025869e-03 -9.88096389e-03 -9.08157775e-03
  -2.10625581e-02  1.15490402e-02 -5.20861495e-03 -1.89199070e-02
  -1.51782889e-02 -9.27735242e-04 -1.11872753e-02 -1.34736695e-02
  -1.23080610e-02 -3.34467116e-02  1.22167266e-03  1.13684605e-02
  -1.23618769e-02 -5.06951679e-03  8.81810952e-03  2.35264199e-03
  -3.17127018e-03  1.07518819e-02 -1.12249870e-02 -2.90780037e-03
  -7.53868282e-03 -3.09026793e-02 -1.68617152e-02 -9.08425909e-03
  -1.72726467e-02 -1.18457841e-02 -1.06705985e-02 -1.00856940e-02
   1.42690064e-04 -2.01700671e-02 -9.20984186e-03 -9.97866231e-03
  -4.24892610e-02  4.12602661e-03 -4.05670252e-03 -3.36013527e-02
  -2.69179662e-02  1.27508114e-03 -1.74797210e-02 -5.81659170e-03
  -1.36760519e-02 -4.09800383e-03  2.30258479e-02 -2.48798429e-02
  -1.13725109e-02 -1.42055564e-02  1.31661915e-02  1.52291944e-02
  -1.16607239e-02 -3.48119780e-02 -2.10585516e-02  8.92328585e-03
   2.36004912e-02  2.35767859e-02 -8.21549991e-03  3.16639723e-02
   2.93274706e-02 -1.00690127e-02 -1.18363822e-03 -1.94969484e-02
   8.81774104e-03 -2.39787748e-02  1.94120504e-02  3.94014844e-03
   2.19981797e-02  5.22941880e-03 -5.62506225e-03  2.01879358e-02
   3.33597715e-02  2.23659923e-02 -3.05899398e-02  3.43641030e-02
  -1.89774929e-02  1.43115449e-02  9.41498833e-04  1.44501421e-03
  -1.55021876e-02  1.47319829e-02  3.20300557e-02 -3.52519549e-02
  -1.79363675e-02  1.71996625e-02  2.60922092e-02 -3.60211359e-03
   7.65028410e-03 -1.00231106e-02 -1.43492339e-02  9.69647338e-03
  -3.59596631e-03 -9.07458808e-04 -1.16599890e-02  3.05118777e-02
   1.10852890e-02 -1.34250923e-02  1.01769347e-02 -1.83298250e-02
  -1.53759279e-02 -1.58080132e-03  2.84390902e-02 -1.23475380e-02
  -1.14271123e-02 -3.71168948e-03  2.01369104e-03 -1.58476098e-02
  -8.69182857e-03  4.12881883e-02  6.52169386e-03  3.24365028e-03
  -1.10160777e-02  1.21361945e-02 -4.10498428e-03  1.21877259e-02
   3.30768812e-02  6.17350427e-02  1.86483588e-02  2.92850748e-02
   8.81712712e-03 -1.82432760e-02 -2.97723418e-02  2.30945478e-02
  -1.39027660e-02  5.20450591e-03  1.48686406e-02  3.97480076e-03
   5.68480390e-03  7.71537490e-03  9.53236228e-03 -1.27178063e-02
  -1.11630759e-02 -9.10921035e-03  6.29624107e-03  1.04437273e-02
  -1.55417428e-02 -1.26203923e-02  1.14044907e-02  3.20020977e-03
  -1.75158272e-03 -4.28065826e-04 -1.31485420e-02  3.48061102e-03
   8.99284777e-03  2.35250357e-02  4.45115538e-03 -3.99651234e-03
  -9.05062670e-03  4.63971573e-03 -2.59132605e-02  2.37054670e-02
  -3.42099592e-03 -2.98018250e-03 -1.83978199e-03  1.03620242e-02
   1.98448870e-03 -2.46838962e-03 -3.90995375e-03  8.44407084e-03
  -7.52745411e-03  1.82211234e-03  2.38678880e-02  1.25279342e-02
   1.06843537e-02 -4.42238543e-03  3.20909373e-03 -4.25068057e-03
   1.89756463e-02  1.52571777e-02  4.78257020e-03  5.74805086e-03
   1.02559247e-02 -8.04822563e-03 -5.92609995e-03  2.86165634e-02
   1.29596606e-02 -5.51773554e-03 -3.04049648e-02 -1.34195328e-02
  -7.80126585e-03  1.29096083e-02  1.39775759e-02  2.59360448e-02
   1.40739455e-02  3.37216223e-03  2.42071723e-02  2.67641407e-02
  -1.81917200e-02  1.13408592e-04 -6.27066309e-03 -1.14907653e-02
   2.00615743e-02  9.04881751e-04  4.68084585e-02 -8.69666475e-03
   9.64283868e-04 -1.17358656e-02 -1.08564665e-02  2.75355767e-02
   4.97347585e-04  1.99883635e-02 -1.40545869e-02 -2.42580305e-03
   1.75849203e-03 -1.77989738e-02 -1.91093091e-02 -1.54800680e-02
   8.46258977e-03 -1.16633892e-02  3.29754372e-02  1.06964132e-02
  -7.53102088e-03  6.13287679e-03 -5.30749012e-03  1.94745021e-04
  -2.64635052e-03 -7.60584271e-03  4.44084941e-02 -2.92646484e-02
  -5.25769444e-03 -2.44401008e-02 -2.61668434e-02 -4.31021150e-03
  -1.44652365e-02 -1.08432603e-02 -1.43213112e-02 -9.28937125e-03
  -2.12264881e-02  1.88422511e-02  1.14362887e-02 -5.84068548e-03
   1.96038896e-02 -2.68036831e-02  2.02642556e-02 -8.37575837e-03
  -7.67670620e-03 -2.12538116e-02 -1.51287231e-02  3.41276866e-03
  -1.12991111e-02 -4.62660807e-03  6.69697479e-03 -2.20898355e-02
   1.19827200e-02 -2.88806795e-02 -6.26369313e-03  3.39112279e-02
  -5.76673490e-03 -6.58445333e-03  1.22359705e-02 -4.48971097e-03
   2.40017171e-02  2.59915051e-02  9.76491159e-03 -3.10163858e-02]]"
1,ArchedEyebrows,96,1.0,0.45,"[[ 1.34923586e-02 -2.23924406e-02 -1.95742406e-04 -3.32928167e-02
   4.42118943e-02  3.75729139e-03 -1.94387476e-02 -1.46781428e-02
   1.15461685e-02  6.81594171e-04 -2.56754267e-02  2.28836123e-02
  -1.65849562e-02  1.18864620e-02 -2.56728849e-02 -4.06426030e-03
  -4.51503745e-03  9.66015616e-03 -1.42069670e-02  1.16191843e-02
   2.25110975e-02  1.27486459e-02  8.46659534e-03 -6.63056489e-03
   4.88471426e-03  1.44661290e-02 -2.36509262e-02 -3.13728840e-02
  -2.95471440e-03 -3.76703246e-02 -1.08418958e-02  8.14127822e-03
   4.40962056e-03  3.89069909e-03  1.42687085e-02 -1.89754861e-02
   1.79162514e-03 -1.71714735e-02 -2.90893436e-02  1.19010383e-02
   3.49962994e-02  9.98016042e-03  9.75156960e-03  6.08901190e-03
  -8.68482137e-03  5.50296661e-03 -2.04679973e-03  1.47212518e-02
  -8.24018954e-03  9.90091816e-03 -1.05694257e-02  7.14127518e-03
  -1.22097815e-02 -1.73217006e-03 -2.54324785e-02  5.42765780e-03
   3.40083159e-02  8.01523312e-03  1.50150778e-02  2.22193593e-02
  -1.55715483e-02 -2.36537082e-02  3.26525020e-02 -2.65978871e-02
   1.68427451e-02  1.22642470e-02 -7.09964009e-03  5.35092540e-03
   2.55702651e-02  1.30217617e-02 -1.51182035e-02 -7.31127525e-03
  -4.04758545e-02  4.12523942e-04 -2.60151559e-02  7.41531332e-03
   2.26062003e-02  1.04779349e-03  3.96845555e-02 -1.05901895e-02
  -8.57928143e-05  6.87705888e-03  9.67946712e-04  9.53680318e-03
  -8.77453600e-03  5.78829521e-03  6.35920200e-03  5.91335704e-03
   9.79955719e-03 -2.34305227e-02  1.34231963e-02  4.89968814e-02
   2.26608408e-02 -2.25671029e-02 -3.03217729e-02  9.15633201e-03
   1.41057926e-02  1.66141514e-02 -1.31819504e-02 -1.84234282e-02
   2.38568298e-02  2.26853515e-02  8.21149612e-03  3.30614325e-02
  -3.33199660e-02 -3.74391756e-02 -1.38267394e-02  1.66066507e-02
  -2.21629785e-03  2.58349769e-03 -2.73628132e-02  3.61681117e-03
   3.89643400e-04 -8.33660673e-03  2.82727017e-02 -6.80643902e-03
  -1.42901047e-02 -1.22097944e-02 -1.41111830e-02 -6.10738221e-03
   2.13382923e-02 -2.54590705e-03  1.60371563e-02  1.23890811e-02
   8.41781667e-03 -6.45970428e-03 -1.25364339e-02 -9.18193880e-03
  -1.14145296e-02  3.13834222e-02 -1.47479164e-02 -4.30201202e-03
  -2.33932959e-02  2.35772842e-02  2.25946385e-02 -2.05317380e-02
  -2.04925052e-02 -2.37099180e-03  6.03386595e-03 -3.09709744e-03
  -2.44887807e-02 -2.27308096e-03 -1.07257862e-03  7.99196096e-03
  -4.89538382e-03 -1.09669059e-02 -1.64055136e-02  5.25629269e-03
  -5.67483240e-04  1.49162031e-02  1.33514124e-02 -2.06154108e-02
  -2.04079490e-02  1.01236742e-02  1.21874796e-02  5.02224146e-02
  -1.29801201e-02  1.08369103e-02 -2.24953902e-02 -1.15747459e-02
   4.52803491e-03  5.44735458e-03 -4.10025885e-02  1.19644762e-02
   1.49376480e-02 -2.94042494e-02  3.55772913e-03  6.87956636e-03
  -1.44823546e-02  1.45268833e-02  5.80659853e-03  8.20365841e-04
   1.43683696e-02 -8.72927693e-03  3.80005180e-02  2.11908706e-02
   5.54833977e-03  7.40983544e-03 -3.15956445e-02  1.12018005e-03
   4.66049337e-03  9.51648105e-03  7.40598287e-03  1.10252796e-02
   4.66707526e-03 -2.92005498e-02 -2.47489723e-02  4.13505701e-03
  -8.67660576e-03  9.09904265e-03 -2.71391991e-02 -2.50184225e-02
  -2.41027795e-02  1.09861947e-02 -1.86894809e-02 -3.83233295e-02
  -1.52860537e-02 -2.04645962e-02 -6.49606531e-04  1.03977490e-02
  -1.17338993e-03 -2.61023040e-02 -2.04826903e-02  4.48666477e-03
  -9.82989232e-03 -1.52059240e-03  8.34184183e-03  1.73525119e-02
  -4.11725677e-02  3.56685013e-02  1.58489850e-02 -1.66426821e-02
  -2.00762575e-02  2.76355451e-02  2.13193420e-02  3.02441415e-02
  -2.79949726e-02 -1.62178196e-03 -3.15499224e-03  1.07168462e-02
   3.64663789e-02  3.70871738e-02  1.89767287e-02 -6.15827233e-03
  -1.80498885e-02 -2.32875146e-02  3.91424120e-03  6.06666215e-03
   3.33646702e-02  7.19204015e-03  4.15109630e-03 -2.30410137e-02
   7.38613616e-03  2.66100514e-02  3.31857177e-03 -1.18705219e-03
  -2.13402670e-02  2.73590828e-03  6.76891356e-03 -8.19758718e-03
  -4.56396592e-02  9.19635872e-04  3.10237537e-03 -4.50810183e-03
  -1.52304239e-03 -3.15151597e-03  1.59151713e-02  3.30071398e-02
  -1.26372350e-02  1.81329977e-02 -3.44079493e-03 -1.34980206e-03
   9.13241327e-03 -2.22936424e-03  2.32971177e-02  9.99274270e-03
  -3.01369520e-02 -2.63864566e-02  7.42996761e-03  9.74661396e-03
   2.08133564e-02 -1.72760729e-02 -2.58727226e-02  1.70602486e-02
   8.32191969e-03 -1.70617857e-03 -3.95202444e-02  2.74441666e-02
  -1.45099634e-02 -2.89253385e-02  2.47455410e-02  1.77861125e-02
   1.86547987e-02  1.44942449e-03  1.66446580e-02  2.12405898e-02
   5.10371648e-03 -1.90951984e-02 -2.10155704e-02  2.00489375e-02
   7.92052527e-03 -1.77933682e-02  2.16218267e-02  1.02454731e-02
   9.11447677e-04  1.67185858e-02  4.97634001e-03 -5.25419679e-03
   3.28980332e-03 -2.84552616e-02 -1.59445203e-02 -2.10887021e-02
   6.88782003e-03  1.82560137e-02 -6.61662604e-04 -3.03769696e-02
  -2.52510878e-02 -3.13967920e-02  3.80064449e-02 -2.32692102e-02
   1.74477408e-05 -1.12752809e-02  1.95139870e-02 -1.36979931e-02
   2.00796755e-02 -8.47121911e-03 -1.82192915e-02 -4.37551795e-03
  -2.11528280e-02 -3.15191467e-02 -6.24512791e-04  1.12458373e-02
  -2.25517250e-02 -1.24638783e-03 -5.74174342e-03 -5.46715670e-03
   1.56970866e-02  1.74555935e-02 -2.63283309e-02  1.88326485e-03
   3.50434988e-02  2.64923194e-02  1.40679888e-02 -2.73849619e-03
  -1.20447823e-02 -2.46401170e-02 -4.73287764e-03  1.89704531e-02
   2.74921040e-02 -2.47854305e-02  4.36422688e-02 -1.57386710e-02
  -1.16376440e-02 -2.01575189e-02  1.90461542e-02  1.88029267e-02
  -2.70434148e-02  3.26698125e-02  4.76035168e-03  2.08210745e-02
  -1.00064047e-02  4.84169876e-03  1.86117678e-02 -2.36633958e-03
   1.41079931e-02  8.45922235e-03 -2.97097105e-03  1.62266969e-02
   5.51484678e-03  4.04681876e-03  1.84096252e-02  1.23427673e-02
  -5.86703761e-03  1.66899233e-02 -2.01863191e-02 -2.28870169e-02
  -7.41235223e-03 -2.19608364e-02 -1.10670961e-02 -2.69859426e-02
  -8.53578803e-03  5.98744858e-03  4.54362467e-02 -2.53037816e-02
   8.25632457e-03  7.96346684e-03 -3.10162819e-02  4.69349039e-03
   1.38727383e-02 -1.57616678e-02 -2.41449791e-02 -1.33761837e-03
  -1.26572643e-02  9.19947948e-03 -1.98690018e-02 -2.93361635e-03
  -1.56236329e-02  2.52106351e-02 -1.70256968e-02 -6.01056532e-03
   1.74476710e-02  1.52289214e-02  2.77985590e-02 -4.31555183e-03
   6.07457039e-03  6.95371731e-04  6.77469592e-03 -1.15805572e-02
  -1.15160339e-03 -7.44046257e-03 -4.07202083e-03 -1.49140434e-02
  -3.84433101e-03  5.30567642e-05  9.73704348e-03 -1.23280110e-02
   9.92378633e-04  2.58036917e-02 -1.02175843e-02 -2.80939957e-03
   3.33448684e-02 -1.66039483e-04 -2.68005183e-03  5.22847194e-03
   1.29816739e-02  3.72333104e-03 -3.80831856e-02  8.69111936e-03
  -2.65397036e-02  3.44316703e-02 -5.30224365e-03 -8.85303006e-03
  -1.49452550e-02 -1.47202664e-03 -1.52031448e-03 -1.40965329e-02
  -1.91996561e-02 -1.18930745e-02  4.98490811e-03  1.07678358e-02
  -6.07817139e-03  9.88473711e-03 -2.23409833e-02 -4.29363904e-02
  -3.16549792e-02 -2.63108573e-02  2.09221167e-02  3.57148155e-03
  -1.49308722e-02 -9.89581550e-03 -2.21436553e-02  3.17102783e-02
   2.56154799e-03  3.51207761e-03 -1.58555423e-02  7.71848252e-03
  -2.32879299e-02  1.65955757e-02 -2.09063177e-02 -3.90564110e-02
  -6.01359675e-03 -8.91260526e-03 -3.22084150e-03  1.32764074e-02
   2.00085773e-02 -3.76375883e-02 -2.34449139e-02  8.19134966e-03
   2.00655628e-02  6.47247285e-03 -3.74170553e-02  3.76223713e-04
   1.91517672e-02  1.41560973e-02 -1.99931114e-02 -5.54725379e-04
   1.64287022e-02 -1.34373945e-02  1.19456325e-02 -8.17930497e-04
  -1.24083475e-02  3.22692958e-02 -2.61132841e-02  8.56058738e-03
  -8.88094921e-03  1.27977774e-02  7.63356925e-03  2.11861491e-02
   7.84256446e-03  2.36329294e-02  7.49323209e-03 -1.10539433e-02
  -1.08874398e-02  6.06707418e-03 -1.24764444e-02  2.06415001e-02
   7.12522013e-03  1.06186494e-02  1.76243731e-02 -4.45642243e-03
  -2.85461997e-02  2.59551864e-02 -7.01135288e-03  2.11215794e-03
  -3.05027297e-02  4.68634786e-03  4.90185051e-03 -4.86160872e-04
   2.53896609e-02  1.73011214e-02 -1.50721781e-02 -1.17758942e-02
  -1.86182294e-02 -2.64134499e-03 -2.28087206e-03 -1.24790752e-02
  -8.99175180e-03 -1.16597284e-02  2.60288686e-02 -2.39733545e-02
   9.55084361e-03  3.54871311e-02  2.34315548e-02 -1.28586261e-02
  -8.60979566e-03 -1.12690674e-02 -7.31261284e-03  3.57877168e-02
  -9.85160710e-03 -1.42183461e-02 -5.00628688e-02 -5.14264127e-03]]"
